simulation,inclusion,exclusion
0,76,75
1,67,206
2,192,103
3,116,81
4,192,158
5,33,69
6,33,12
7,147,56
8,53,16
9,76,109
10,192,72
11,76,105
12,31,158
13,31,160
14,67,87
15,76,167
16,147,13
17,147,105
18,33,51
19,71,206
