simulation,inclusion,exclusion
0,116,109
1,153,72
2,33,105
3,33,159
4,76,161
5,153,87
6,76,168
7,31,13
8,76,105
9,147,51
10,33,207
11,71,19
12,84,97
13,33,198
14,150,25
15,76,95
16,153,161
17,23,21
18,147,11
19,193,187
